"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1";"LED_D3.0mm";1;"MF_LED";;;
2;"SW2";"SW_PUSH_6mm_H13mm";1;"MF3_ACT";;;
3;"SW1";"SW_PUSH_6mm_H13mm";1;"RESET";;;
4;"CN1";"ZX_EDGE_SOLDER";1;"ZX_Plus3_SOLDER";;;
5;"J1";"DSUB-9_Male_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm";1;"Kempston";;;
6;"D2";"LED_D3.0mm";1;"PWR_LED";;;
7;"U3";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"74LS670N";;;
8;"U8,U7,U5";"SOIC-14_3.9x8.7mm_P1.27mm";3;"74HCT74";;;
9;"U6,U2,U4,U11,U1,U17";"SOIC-14_3.9x8.7mm_P1.27mm";6;"74HCT32";;;
10;"U10";"DIP-20_W7.62mm_Socket";1;"GAL16V8B";;;
11;"CN2";"ZX_EDGE_BACK";1;"ZX_Plus3_BACK";;;
12;"U16";"DIP-28_W15.24mm_Socket";1;"6264 / 62256";;;
13;"SW4";"SPDT_ON_OFF_Big";1;"JOY_ONOFF";;;
14;"U13";"DIP-28_W15.24mm_Socket";1;"W27E257";;;
15;"SW3";"SPDT_ON_OFF_Big";1;"ROMSEL";;;
16;"C14,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C16,C15";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"100nF";;;
17;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
18;"R2,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"680R";;;
19;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1nF";;;
20;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"4K7";;;
21;"R9,R6,R7,R8,R11,R10,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10K";;;
22;"U18";"SOIC-20W_7.5x12.8mm_P1.27mm";1;"74HCT240";;;
23;"U9";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HCT125";;;
